| ID | 난이도 | 제목 | 분류 | 링크 | 언어 |
| -- | ---- | :-- | :-- | --- | --- |
| 1397 | G1 | 백조의 호수 | 연습문제 | [문제](https://www.acmicpc.net/problem/3197) / [풀이](/solutions/%eb%b0%b1%ec%a1%b0%ec%9d%98+%ed%98%b8%ec%88%98) | 언어 |
| 2208 | G2 | 보석 줍기 | 연습문제 | [문제](https://www.acmicpc.net/problem/2208) / [풀이](/solutions/%eb%b3%b4%ec%84%9d+%ec%a4%8d%ea%b8%b0) | 언어 |
| 4491 | G2 | 로봇 청소기 | 연습문제 | [문제](https://www.acmicpc.net/problem/4491) / [풀이](/solutions/%eb%a1%9c%eb%b4%87+%ec%b2%ad%ec%86%8c%ea%b8%b0) | 언어 |
| 13459 | G3 | 구슬 탈출 | 연습문제 | [문제](https://www.acmicpc.net/problem/13459) / [풀이](/solutions/%ea%b5%ac%ec%8a%ac+%ed%83%88%ec%b6%9c) | 언어 |
| 13460 | G3 | 구슬 탈출2 | 연습문제 | [문제](https://www.acmicpc.net/problem/13460) / [풀이](/solutions/%ea%b5%ac%ec%8a%ac+%ed%83%88%ec%b6%9c2) | 언어 |
| 1941 | G4 | 소문난 칠공주 | 연습문제 | [문제](https://www.acmicpc.net/problem/1941) / [풀이](/solutions/%ec%86%8c%eb%ac%b8%eb%82%9c+%ec%b9%a0%ea%b3%b5%ec%a3%bc) | 언어 |
| 2458 | G4 | 키 순서 | 연습문제 | [문제](https://www.acmicpc.net/problem/2458) / [풀이](/solutions/%ed%82%a4+%ec%88%9c%ec%84%9c) | 언어 |
| 2473 | G4 | 세 용액 | 연습문제 | [문제](https://www.acmicpc.net/problem/2473) / [풀이](/solutions/%ec%84%b8+%ec%9a%a9%ec%95%a1) | 언어 |
| 2638 | G4 | 치즈 | 연습문제 | [문제](https://www.acmicpc.net/problem/2638) / [풀이](/solutions/%ec%b9%98%ec%a6%88) | 언어 |
| 4179 | G4 | 불! | 연습문제 | [문제](https://www.acmicpc.net/problem/4179) / [풀이](/solutions/%eb%b6%88!) | 언어 |
| 5427 | G4 | 불 | 연습문제 | [문제](https://www.acmicpc.net/problem/5427) / [풀이](/solutions/%eb%b6%88) | 언어 |
| 9466 | G4 | 텀 프로젝트 | 연습문제 | [문제](https://www.acmicpc.net/problem/9466) / [풀이](/solutions/%ed%85%80+%ed%94%84%eb%a1%9c%ec%a0%9d%ed%8a%b8) | 언어 |
| 11404 | G4 | 플로이드 | 연습문제 | [문제](https://www.acmicpc.net/problem/11404) / [풀이](/solutions/%ed%94%8c%eb%a1%9c%ec%9d%b4%eb%93%9c) | 언어 |
| 16120 | G4 | 플로이드 | 연습문제 | [문제](https://www.acmicpc.net/problem/16120) / [풀이](/solutions/%ed%94%8c%eb%a1%9c%ec%9d%b4%eb%93%9c) | 언어 |
| 17140 | G4 | 이차원 배열과 연산 | 연습문제 | [문제](https://www.acmicpc.net/problem/17140) / [풀이](/solutions/%ec%9d%b4%ec%b0%a8%ec%9b%90+%eb%b0%b0%ec%97%b4%ea%b3%bc+%ec%97%b0%ec%82%b0) | 언어 |
| 20056 | G4 | 마법사 상어와 파이어볼 | 연습문제 | [문제](https://www.acmicpc.net/problem/20056) / [풀이](/solutions/%eb%a7%88%eb%b2%95%ec%82%ac+%ec%83%81%ec%96%b4%ec%99%80+%ed%8c%8c%ec%9d%b4%ec%96%b4%eb%b3%bc) | 언어 |
| 1747 | G5 | 소수&팰린드롬 | 연습문제 | [문제](https://www.acmicpc.net/problem/1747) / [풀이](/solutions/%ec%86%8c%ec%88%98%26%ed%8c%b0%eb%a6%b0%eb%93%9c%eb%a1%ac) | 언어 |
